session,name,fppcId
2021,CA NEIGHBORHOOD EMPOWERMENT THROUGH VOTING PROJECT,1447516
2021,CAL-ORE TELEPHONE COMPANY,1405445
2021,CALAVERAS TELEPHONE COMPANY,1396091
2021,CALIFIA DEVELOPMENT GROUP AND AFFILIATED ENTITIES,1443569
2021,CALIFORNIA ALLIANCE FOR JOBS,P24740
2021,CALIFORNIA ALLIANCE FOR RENEWABLE ENERGY SOLUTIONS,1419815
2021,CALIFORNIA CALLS EDUCATION FUND,1397844
2021,CALIFORNIA CASUALTY INDEMNITY EXCHANGE,P24719
2021,CALIFORNIA CHARTER SCHOOLS ASSOCIATION,1418078
2021,"CALIFORNIA CONGRESS OF PARENTS, STUDENTS AND TEACHERS, INC.",1299896
2021,CALIFORNIA DEMOCRATIC PARTY,1276582
2021,CALIFORNIA ENDOWMENT; THE,1302208
2021,CALIFORNIA ENERGY AND INFRASTRUCTURE LABOR MANAGEMENT COOPERATION TRUST,1439949
2021,CALIFORNIA HEALTHCARE FOUNDATION,1437883
2021,CALIFORNIA RCV COALITION INC.,1448716
2021,CALIFORNIA REPUBLICAN PARTY,C25830
2021,CALIFORNIANS AGAINST HIGHER TAXES,1319860
2021,CALIFORNIANS FOR ENERGY INDEPENDENCE,1368757
2021,CALIFORNIANS FOR JUSTICE EDUCATION FUND,1318970
2021,CALIFORNIANS FOR SAFE AND EQUITABLE COMMUNITIES,1439382
2021,CALINNOVATES.ORG,1325617
2021,CALOMA - CALIFORNIA LABOR OIL MANAGEMENT ALLIANCE,1438059
2021,CARBON FREE CALIFORNIA,1450626
2021,CATAPULT LEARNING LLC,1459644
2021,CENTER FOR BIOLOGICAL DIVERSITY,1428329
2021,CENTER FOR SCIENCE IN THE PUBLIC INTEREST,1302180
2021,CLASP,1447411
2021,"COALITION FOR AFFORDABLE, RELIABLE AND EQUITABLE HOUSING",1395433
2021,COMMITTEE TO ENGAGE AND EMPOWER CALIFORNIA VOTERS,1447515
2021,COMMUNITY PARTNERS,1385218
2021,COMMUNITY WATER CENTER ACTION FUND AND AFFILIATED ENTITY COMMUNITY WATER CENTER,1442003
2021,CONCORDIA UNIVERSITY IRVINE,1392096
2021,CONSTRUCTION INDUSTRY ADVANCEMENT FUND OF SOUTHERN CALIFORNIA (CIAF),P24703
2021,CONVENTION OF STATES ACTION,1439710
2021,COURAGE CAMPAIGN,1373266
2021,DIALYSIS IS LIFE SUPPORT,1421959
2021,DOUBLELINE,1412712
2021,DUCOR TELEPHONE COMPANY,1405469
2021,"DUSCHA, STEPHEN",1438338
2021,ECOLOGY AUTO PARTS,1354858
2021,EDUCATION COALITION; THE,1303365
2021,EL POLLO LOCO FRANCHISE ASSOCIATION,1448617
2021,"EL POLLO LOCO, INC.",1449224
2021,ENDLESS PURSUIT CORP,1455996
2021,ENERGY ACTION FUND,1428285
2021,EQUAL RIGHTS ADVOCATES,1437784
2021,"FARMERS GROUP, INC., AN AFFILIATE OF ZURICH FINANCIAL SERVICES",1340096
2021,"FFL PARTNERS, LLC",1412713
2021,FINITE CARBON,1447939
2021,FOCUS BRANDS LLC,1447813
2021,FOOD & WATER WATCH,1439180
2021,FORESTHILL TELEPHONE CO (DBA SEBASTIAN),1405418
2021,FRESNO IRRIGATION DISTRICT,1401352
2021,FRESNO PACIFIC UNIVERSITY,1400118
2021,FRIENDS OF THE EARTH,1455735
2021,FUND FOR CONSTRUCTION INDUSTRY ADVANCEMENT (FCIA),P24704
2021,GOLDEN STATE COMMUNITIES,1455913
2021,GOLDEN STATE COMMUNITIES PROJECT,1455911
2021,"GREATER SACRAMENTO AREA ECONOMIC COUNCIL, A CALIFORNIA NONPROFIT CORPORATION",1447913
2021,GREENPEACE INC.,1426360
2021,GRYPHON INVESTORS,1412717
2021,HAND & STONE,1435847
2021,HERRERA & COMPANY,1438339
2021,HEWLETT FOUNDATION; THE WILLAM AND FLORA,1302211
2021,"IL MANAGER, LLC",1443816
2021,IMMIGRATION LEGAL RESOURCE CENTER,1447941
2021,KERMAN TELEPHONE CO (DBA SEBASTIAN),1405417
2021,KID SAFE SF,1439686
2021,LAKE HEMET MUNICIPAL WATER DISTRICT,1396104
2021,LAS VIRGENES MUNICIPAL WATER DISTRICT,1396702
2021,LEADERSHIP COUNSEL FOR JUSTICE AND ACCOUNTABILITY,1418369
2021,LEGAL AID AT WORK,1396214
2021,"LENNAR HOMES OF CALIFORNIA, INC. AND AFFILIATED ENTITIES",1396048
2021,LEXINGTON NATIONAL INSURANCE CORPORATION,1439406
2021,LIFE PACIFIC UNIVERSITY,1392095
2021,LIMINALITY CAPITAL,1449222
2021,LONG DURATION ENERGY STORAGE ASSOCIATION OF CALIFORNIA,1437815
2021,MC DONALD'S CORPORATION,1444117
2021,"MENTAL HEALTH LEADERSHIP INITIATIVE INC., DBA THE KENNEDY FORUM",1418290
2021,MY FRIENDS,1417978
2021,NATIONAL RESTAURANT ASSOCIATION,1444120
2021,"NATIONAL TRAINING SYSTEMS, INC.",1439762
2021,NEXTGEN CALIFORNIA ACTION,1450865
2021,NORTH FUND,1446489
2021,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,1450868
2021,"NOVOLEX HOLDINGS, LLC",1421989
2021,OAKDALE IRRIGATION DISTRICT,1395649
2021,OMIDYAR NETWORK SERVICES LLC,1450540
2021,"OPEN SOCIETY POLICY CENTER, INC.",1410243
2021,"PANDA RESTAURANT GROUP, INC.",1448768
2021,PARENTSTOGETHER ACTION,1455836
2021,PARTHENON CAPITAL PARTNERS,1412721
2021,POINT LOMA NAZARENE UNIVERSITY,1399861
2021,POMONA VALLEY HOSPITAL MEDICAL,1449203
2021,"PONDEROSA TELEPHONE COMPANY, THE",1396247
2021,POTENTIAL ENERGY ACTION NETWORK INC.,1455958
2021,PROGRESSIVE CASUALTY INSURANCE CO.,1412749
2021,PROPEL CONSULTING GROUP,1438337
2021,PROTECT APP-BASED DRIVERS AND SERVICES,1436282
2021,PROTECT CALIFORNIA HEALTH CARE,1447066
2021,PROVIDENCE CHRISTIAN COLLEGE,1415556
2021,PUBLIC ADVOCATES,1357454
2021,PUBLIC COUNSEL,1407570
2021,PUBLIC SAFETY & JUSTICE FOR ALL,1441909
2021,RESTAURANT BRANDS INTERNATIONAL,1449408
2021,RG ENVIRONMENTAL HOLDINGS INC.,1392082
2021,SAN FRANCISCO FOUNDATION; THE,1368816
2021,SEAVIEW INSURANCE COMPANY,1440007
2021,SEIU UNITED HEALTHCARE WORKERS WEST,1276614
2021,SERVICE EMPLOYEES INTERNATIONAL UNION,1256591
2021,"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 721 CTW, CLC",1302175
2021,"SIERRA CONSULTING SERVICES, INC.",1447601
2021,SIERRA TELEPHONE COMPANY,1306660
2021,SIMPSON UNIVERSITY,1392459
2021,SIMS METAL MANAGEMENT,1318031
2021,SISKIYOU TELEPHONE COMPANY,1396090
2021,SIXTEEN THIRTY FUND,1437356
2021,SOLAR RIGHTS ALLIANCE,1418603
2021,SOMA AEC INC. DBA OXMAN COLLEGE,1438340
2021,SONY MUSIC ENTERTAINMENT,1447666
2021,SOQUEL CREEK WATER DISTRICT,1395665
2021,SOUTHWEST REGIONAL COUNCIL OF CARPENTERS,1288413
2021,STAND UP 4 NURSES,1428324
2021,STOP AB 650,1439388
2021,"STRATEGY WORKPLACE COMMUNICATIONS, INC.",1439764
2021,TDS TELECOM,1405283
2021,TERRAFFIRM INC.,1436421
2021,"TFP GROUP, INC. DBA TRAINING FUNDING PARTNERS",1438336
2021,TOGETHER WE GROW,1417976
2021,UNITED STATES ENERGY FOUNDATION (DBA ENERGY FOUNDATION),1328927
2021,"UNIVERSAL SERVICE RECYCLING, INC.",1441782
2021,VALLECITOS WATER DISTRICT,1396377
2021,VALUEACT CAPITAL,1412724
2021,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,1392157
2021,VISTA IRRIGATION DISTRICT,1401209
2021,VOLCANO TELEPHONE COMPANY,1396213
2021,WENDY'S COMPANY;THE,1450699
2021,WESTMONT COLLEGE,1399860
2021,WILLIAM JESSUP UNIVERSITY,1392109
2021,WINDWARD FUND,1453868
2021,WINN COMMUNITIES,1446922
2021,WV CAPITAL VENTURES,1450776
2019,8MINUTE SOLAR ENERGY,1434313
2019,A.G. SPANOS COMPANIES,1421866
2019,"ABBEY, WEITZENBER, WARREN & EMERY PC",1408003
2019,ALLIANCE FOR CLIMATE RESISTANT CALIFORNIA,1426336
2019,ALPINE INVESTORS,1412710
2019,"AMERICAN CIVIL LIBERTIES UNION, INC.",1397231
2019,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES 57 DISTRICT COUNCIL 57",1378648
2019,AMERICAN TORT REFORM ASSOCIATION,1420002
2019,AVANGRID RENEWABLES,1396183
2019,AZUSA PACIFIC UNIVERSITY,1435863
2019,"BAUPOST GROUP, L.L.C., THE",1418245
2019,BENCHMARK CAPITAL HOLDINGS CO. LLC,1407850
2019,BIOLA UNIVERSITY,1399830
2019,"BRIDGFORD, GLEASON & ARTINIAN",1408004
2019,C.J. SEGERSTROM & SONS,1421860
2019,CAL-ORE TELEPHONE COMPANY,1405445
2019,CALAVERAS TELEPHONE COMPANY,1396091
2019,CALIFORNIA ALLIANCE FOR RENEWABLE ENERGY SOLUTIONS,1419815
2019,CALIFORNIA CHARTER SCHOOLS ASSOCIATION,1418078
2019,"CALIFORNIA CONGRESS OF PARENTS, STUDENTS AND TEACHERS, INC.",1299896
2019,CALIFORNIA DEMOCRATIC PARTY,1276582
2019,CALIFORNIA ENDOWMENT; THE,1302208
2019,CALIFORNIA FAIR SERVICES AUTHORITY,1427659
2019,CALIFORNIA FIRE LAWYERS,1407992
2019,CALIFORNIA GAMING ASSOCIATION,1415491
2019,CALIFORNIA HOUSING PARTNERSHIP CORPORATION,1397097
2019,CALIFORNIA PUBLIC SAFETY PARTNERSHIP ISSUES COMMITTEE,1417997
2019,CALIFORNIANS AGAINST HIGHER TAXES,1319860
2019,CALIFORNIANS FOR AFFORDABLE AND RELIABLE ENERGY (CARE),1397855
2019,CALIFORNIANS FOR ENERGY INDEPENDENCE,1368757
2019,CALIFORNIANS FOR SMARTER RECYCLING,1430306
2019,CALIFORNIANS UNITED TO PROTECT INSURANCE DISCOUNTS,1426219
2019,CATHOLIC HEALTHCARE WEST,1241256
2019,"CD CLEAN ENERGY AND INFRASTRUCTURE V JC (HOLDCO), LLC",1429621
2019,CENTER FOR BIOLOGICAL DIVERSITY,1428329
2019,CENTER FOR CONSUMER FREEDOM,1422142
2019,CENTER FOR ECOLITERACY,1396159
2019,CHILDREN AND FAMILIES COMMISSION OF ORANGE COUNTY,1417966
2019,CLEAN WATER AND JOBS FOR CALIFORNIA,1361473
2019,CLIMATEWORKS FOUNDATION,1433597
2019,"COALITION FOR AFFORDABLE, RELIABLE AND EQUITABLE HOUSING",1395433
2019,COALITION FOR THE FUTURE,1419046
2019,COALITION TO PROTECT ACCESS TO CARE,1397445
2019,COMMUNITY PARTNERS,1385218
2019,"CON EDISON CLEAN ENERGY BUSINESSES, INC.",1431070
2019,CONCORDIA UNIVERSITY IRVINE,1392096
2019,CONSTRUCTION INDUSTRY ADVANCEMENT FUND OF SOUTHERN CALIFORNIA (CIAF),P24703
2019,COUNCIL FOR A STRONG AMERICA,1418136
2019,COURAGE CAMPAIGN,1373266
2019,CYPRESS LAND COMPANY,1421856
2019,"DE SILVA HOLDING COMPANY, INC. AND AFFILLIATED ENTITIES",1419980
2019,"DECAPOD, LLC",1420539
2019,DIALYSIS IS LIFE SUPPORT,1421959
2019,"DIALYSIS PATIENT CITIZENS, INC.",1420039
2019,"DISCOVERY COMMUNICATIONS, LLC",1428174
2019,DOUBLELINE,1412712
2019,DUCOR TELEPHONE COMPANY,1405469
2019,ECOLOGY AUTO PARTS,1354858
2019,EDUCATION COALITION; THE,1303365
2019,ENERGY ACTION FUND,1428285
2019,"EXCEL ADJUSTERS, INC.",1428326
2019,"FARMERS GROUP, INC., AN AFFILIATE OF ZURICH FINANCIAL SERVICES",1340096
2019,FORESTHILL TELEPHONE CO (DBA SEBASTIAN),1405418
2019,FRANTZ LAW GROUP,1419967
2019,FRESNO IRRIGATION DISTRICT,1401352
2019,FRESNO PACIFIC UNIVERSITY,1400118
2019,FUND FOR CONSTRUCTION INDUSTRY ADVANCEMENT (FCIA),P24704
2019,GENSTAR CAPITAL LLC,1412714
2019,"GGV MANAGMENT, L.L.C.",1407846
2019,GRACE END CHILD POVERTY INSTITUTE,1397853
2019,GREENPEACE INC.,1426360
2019,"GREENSPAN CO. ADJUSTERS INTERNATIONAL, INC.",1428327
2019,HAND & STONE,1435847
2019,HELLMAN; MARCO,1419907
2019,HEWLETT FOUNDATION; THE WILLAM AND FLORA,1302211
2019,HMI CAPITAL,1412718
2019,HUMBOLDT BAY MUNICIPAL WATER DISTRICT,1397388
2019,"IMPERIAL WESTERN PRODUCTS, INC.",1432349
2019,"INDEX VENTURES (US), INC.",1407849
2019,INDIVISIBLE PROJECT,1418367
2019,"ITG BRANDS, LLC",1433690
2019,JACKSON SQUARE PROPERTIES,1421864
2019,"JACKSON, LAW OFFICES OF ROBERT W.",1424419
2019,JANNEY AND JANNEY,1385304
2019,KERMAN TELEPHONE CO (DBA SEBASTIAN),1405417
2019,"KILROY REALTY, L.P. & AFFILIATED ENTITIES",1427609
2019,KINGS COUNTY WATER DISTRICT,1282988
2019,LAKE HEMET MUNICIPAL WATER DISTRICT,1396104
2019,LAS VIRGENES MUNICIPAL WATER DISTRICT,1396702
2019,LEADERSHIP COUNSEL FOR JUSTICE AND ACCOUNTABILITY,1418369
2019,LEGAL AID AT WORK,1396214
2019,LEVIN SIMES ABRAMS LLP,1408007
2019,LIFE PACIFIC UNIVERSITY,1392095
2019,MARINA COAST WATER DISTRICT,1396246
2019,"MENTAL HEALTH LEADERSHIP INITIATIVE INC., DBA THE KENNEDY FORUM",1418290
2019,MISSION ECONOMIC DEVELOPMENT AGENCY (MEDA),1418436
2019,MY FRIENDS,1417978
2019,NATIONAL ASSOCIATION OF HOME BUILDERS,1421373
2019,NATIONAL RETAIL FEDERATION,1418284
2019,NATURAL RESOURCES DEFENSE COUNCIL ACTION FUND,1292241
2019,NEIGHBORHOOD FORWARD LOS ANGELES,1434289
2019,"NOVOLEX HOLDINGS, LLC",1421989
2019,"O'BRIEN GROUP, THE",P24666
2019,OAKDALE IRRIGATION DISTRICT,1395649
2019,"ONE LEGAL, LLC",1385305
2019,PARTHENON CAPITAL PARTNERS,1412721
2019,PARTNERSHIP FOR CHILDREN & YOUTH,1397776
2019,"PATIENTS AND CAREGIVERS TO PROTECT DIALYSIS PATIENTS, SPONSORED BY THE CALIFORNIA DIALYSIS COUNCIL",1417525
2019,PATIENTS FOR AFFORDABLE DRUGS NOW,1402341
2019,"PEOPLE FOR THE ETHICAL TREATMENT OF ANIMALS, INC. (PETA)",1416744
2019,PHARMACEUTICAL PRODUCT STEWARDSHIP WORK GROUP (PPSWG) AND ITS AFFILIATE MED-PROJECT LLC (MED-PROJECT),1418134
2019,PICO CALIFORNIA,1419888
2019,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,1378843
2019,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY,1348888
2019,PLANNED PARENTHOOD CENTRAL COAST ACTION FUND,1407623
2019,PLANNED PARENTHOOD OF ORANGE & SAN BERNARDINO COUNTIES ACTION FUND,1378807
2019,POINT LOMA NAZARENE UNIVERSITY,1399861
2019,POLICYLINK,1244005
2019,"PONDEROSA HOMES II, INC.",1276445
2019,"PONDEROSA TELEPHONE COMPANY, THE",1396247
2019,POWER CALIFORNIA,1421698
2019,PROTECT CALIFORNIA,1418288
2019,PUBLIC ADVOCATES,1357454
2019,RAPID LEGAL,1385306
2019,RETAILERS AND STORE OWNERS UNITED TO REBUILD OUR COMMUNITIES' ECONOMIES,1429226
2019,RG ENVIRONMENTAL HOLDINGS INC.,1392082
2019,"ROUTE ONE INVESTMENT COMPANY, L.P.",1412722
2019,"RWE RENEWABLES SERVICES, LLC",1434695
2019,SAN FRANCISCO FOUNDATION; THE,1368816
2019,SAN JOSE POLICE OFFICERS' ASSOCIATION,1413325
2019,"SCALE MANAGEMENT, LLC",1418248
2019,SEIU 2015,1397628
2019,SEIU UNITED HEALTHCARE WORKERS WEST,1276614
2019,SERVICE EMPLOYEES INTERNATIONAL UNION,1256591
2019,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 121RN,1396012
2019,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 521,1340255
2019,"SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 721 CTW, CLC",1302175
2019,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 99,1349726
2019,SERVICE EMPLOYEES INTERNATIONAL UNION UNITED SERVICE WORKERS WEST (SEIU USWW),1399870
2019,SIERRA TELEPHONE COMPANY,1306660
2019,"SIGNATURE DEVELOPMENT GROUP, INC.",1399959
2019,"SIGNATURE HOMES, INC.",1400022
2019,SIMS METAL MANAGEMENT,1318031
2019,SISKIYOU TELEPHONE COMPANY,1396090
2019,SMART CITIES PREVAIL,1399866
2019,"SOL CUSTOMER SOLUTIONS, LLC",1429617
2019,SOLAR RIGHTS ALLIANCE,1418603
2019,SOQUEL CREEK WATER DISTRICT,1395665
2019,SOUTHERN CALIFORNIA PARTNERSHIP FOR JOBS,1396178
2019,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1422130
2019,SOUTHWEST REGIONAL COUNCIL OF CARPENTERS,1288413
2019,STAND UP 4 NURSES,1428324
2019,SUMMERHILL HOUSING GROUP,1428408
2019,"SUPERBAG OPERATING, LTD.",1333463
2019,"SUTTER HILL MANAGEMENT COMPANY, LLC",1407851
2019,SWINERTON BUILDERS,1432280
2019,TDS TELECOM,1405283
2019,TENDERLOIN NEIGHBORHOOD DEVELOPMENT CORPORATION,1418328
2019,"TERRAFORM POWER OPERATING, LLC",1432295
2019,TOGETHER WE GROW,1417976
2019,TRANSFORM,1329059
2019,TSG CONSUMER PARTNERS,1412723
2019,UNILEVER USA,1420001
2019,UNITED STATES ENERGY FOUNDATION (DBA ENERGY FOUNDATION),1328927
2019,VALLECITOS WATER DISTRICT,1396377
2019,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,1392157
2019,"VECTOR CAPITAL MANAGEMENT, L.P.",1412725
2019,VISTA IRRIGATION DISTRICT,1401209
2019,VOLCANO TELEPHONE COMPANY,1396213
2019,VOTE SOLAR,1380645
2019,WALTON; CHRISTY,1420538
2019,"WEST ROSEVILLE, LLC",1416988
2019,WESTERN NATIONAL GROUP,1421858
2019,WESTLANDS WATER DISTRICT,1394832
2019,WESTMONT COLLEGE,1399860
2019,WILDFIRE LEGAL GROUP,1422128
2019,WILLIAM JESSUP UNIVERSITY,1392109
2019,"WILLIAMS, EVAN",1420046
2019,"WORKSAFE, INC.",1322570
2017,"100 VAN NESS ASSOCIATES, LLC",1405252
2017,1INK (PARAGON SOLUTION NEWTWORK),1407867
2017,"ADVERTISE HEALTH CPA NETWORK, INC.",1408262
2017,"AGCAL, INC.",1397884
2017,ALLIANZ GLOBAL CORPORATE & SPECIALTY,1413932
2017,ALPINE INVESTORS,1412710
2017,"AMERICAN CIVIL LIBERTIES UNION, INC.",1397231
2017,ANDERSON HOMES,1395189
2017,AVANGRID RENEWABLES,1396183
2017,BALDWIN & SONS,1357564
2017,BASSENIAN LAGONI,1395352
2017,BAUMAN LOEWE WITT & MAXWELL PLLC,1411256
2017,BEAR YUBA LAND TRUST,1415042
2017,"BEAZER HOMES USA, INC.",1396029
2017,BENCHMARK CAPITAL HOLDINGS CO. LLC,1407850
2017,BERLOGER STEVENS &  ASSOCIATES INC.,1395492
2017,BEST MANAGEMENT CONSTRUCTION INC,1396164
2017,BIOENERGY ASSOCIATION OF CALIFORNIA,1407919
2017,BIOLA UNIVERSITY,1399830
2017,BL ROAD LLC,1396103
2017,"BRANDYWINE HOMES, INC.",1396778
2017,"BRIGHT DEVELOPMENT, A CALIFORNIA CORPORATION",1397222
2017,"BROOKFIELD BAY AREA HOLDINGS, LLC, AND AGGREGATED CONTRIBUTIONS",1405460
2017,"BROOKFIELD LOS ANGELES BUILDERS, INC.",1396185
2017,BUILDING AND PROTECTING CALIFORNIA'S FUTURE,1413670
2017,"CABINETS 2000, INC.",1396120
2017,CAL-ORE TELEPHONE COMPANY,1405445
2017,"CALATLANTIC GROUP, INC.",1276449
2017,CALAVERAS TELEPHONE COMPANY,1396091
2017,"CALIBER INTERIORS, INC.",1395986
2017,CALIFORNIA ALLIANCE FOR JOBS,P24740
2017,CALIFORNIA CALLS EDUCATION FUND,1397844
2017,"CALIFORNIA CONGRESS OF PARENTS, STUDENTS AND TEACHERS, INC.",1299896
2017,CALIFORNIA DEMOCRATIC PARTY,1276582
2017,CALIFORNIA ENDOWMENT; THE,1302208
2017,CALIFORNIA FIRE LAWYERS,1407992
2017,CALIFORNIA GAMING ASSOCIATION,1415491
2017,CALIFORNIA HEPATITIS C TASK FORCE,1399661
2017,CALIFORNIA HOUSING PARTNERSHIP CORPORATION,1397097
2017,CALIFORNIA LULAC STATE ORGANIZATION,1401992
2017,CALIFORNIA METROPOLITAN FIRE CHIEFS ASSOCIATION,1408264
2017,CALIFORNIA PLANNED PARENTHOOD EDUCATION FUND,1378872
2017,CALIFORNIA PROFESSIONAL ASSOCIATION OF SPECIALTY CONTRACTORS (CALPASC),1376904
2017,CALIFORNIA REPUBLICAN PARTY,C25830
2017,"CALIFORNIA STUDENT PUBLIC INTEREST RESEARCH GROUP, INC.",1396060
2017,CALIFORNIANS AGAINST HIGHER TAXES,1319860
2017,CALIFORNIANS FOR AFFORDABLE AND RELIABLE ENERGY (CARE),1397855
2017,CALIFORNIANS FOR JUSTICE EDUCATION FUND,1318970
2017,"CALIFORNIANS FOR SAFE AND AFFORDABLE HOUSING, SPONSORED BY MANUFACTURING COMPANIES",1405457
2017,CALINNOVATES.ORG,1325617
2017,CALLEGUAS MUNICIPAL WATER DISTRICT,1401001
2017,"CANON STATION, LLC",1396691
2017,CARBONLITE INDUSTRIES,1380672
2017,CENTER FOR ECOLITERACY,1396159
2017,"COALITION FOR AFFORDABLE, RELIABLE AND EQUITABLE HOUSING",1395433
2017,COALITION TO PROTECT ACCESS TO CARE,1397445
2017,CONCORDIA UNIVERSITY IRVINE,1392096
2017,CONSTRUCTION INDUSTRY ADVANCEMENT FUND OF SOUTHERN CALIFORNIA (CIAF),P24703
2017,"COREY, LUZAICH, DE GHETALDI & RIDDLE LLP",1408001
2017,CORNERSTONE COMMUNITIES CORPORATION,1397096
2017,COTCHETT PITRE & MC CARTHY LLP,1407994
2017,COUNTERPAC,1397871
2017,COURAGE CAMPAIGN,1373266
2017,"CREATIVE  DESIGN INTERIORS, INC.",1396123
2017,"D.R. HORTON LOS ANGELES HOLDING COMPANY, INC.",1396013
2017,"DENOVA HOMES, INC.",1397857
2017,"DENTISTS INSURANCE COMPANY, THE",1407471
2017,DOUG VEERKAMP GENERAL ENGINEERING INC.,1395924
2017,"DREYER BABICH BUCCOLA WOOD CAMPORA, LLP",1407484
2017,DUCOR TELEPHONE COMPANY,1405469
2017,ECOLOGY AUTO PARTS,1354858
2017,EDUCATION COALITION; THE,1303365
2017,EDUCATORS FOR EXCELLENCE,1395436
